zip,city,county,pop
27541,Hurdle Mills,Person,3915
27019,Germanton,Stokes,3900
28643,Lansing,Ashe,3842
27874,Scotland Neck,Halifax,3837
28160,Spindale,Rutherford,3825
27050,Tobaccoville,Forsyth,3811
28676,State Road,Surry,3788
28456,Riegelwood,Columbus,3750
28344,Godwin,Cumberland,3726
28594,Emerald Isle,Carteret,3702
28726,East Flat Rock,Henderson,3701
28741,Highlands,Macon,3672
28670,Ronda,Wilkes,3649
28098,Lowell,Gaston,3632
27924,Colerain,Bertie,3568
28453,Magnolia,Duplin,3563
27248,Franklinville,Randolph,3555
27311,Pelham,Caswell,3521
27229,Candor,Montgomery,3484
27839,Halifax,Halifax,3479
28751,Maggie Valley,Haywood,3473
27281,Jackson Springs,Moore,3433
27880,Sims,Wilson,3421
28441,Garland,Sampson,3396
27831,Garysburg,Northampton,3381
28533,Cherry Point,Craven,3331
28605,Blowing Rock,Watauga,3312
28790,Zirconia,Henderson,3295
28654,Moravian Falls,Wilkes,3268
28032,Cramerton,Gaston,3245
28701,Alexander,Buncombe,3240
27053,Westfield,Surry,3233
27207,Bear Creek,Chatham,3227
28512,Atlantic Beach,Carteret,3211
27024,Lowgap,Surry,3205
27283,Julian,Guilford,3194
27845,Jackson,Northampton,3192
28137,Richfield,Stanly,3181
28742,Horse Shoe,Henderson,3155
28033,Crouse,Lincoln,3132
28729,Etowah,Henderson,3114
27846,Jamesville,Martin,3096
28508,Albertson,Duplin,3093
27852,Macclesfield,Edgecombe,3061
28635,Hays,Wilkes,3055
28464,Teachey,Duplin,3031
27009,Belews Creek,Forsyth,3002
28773,Saluda,Polk,2973
28159,Spencer,Rowan,2959
27959,Nags Head,Dare,2938
27326,Ruffin,Rockingham,2900
28525,Deep Run,Lenoir,2883
27832,Gaston,Northampton,2868
28905,Marble,Cherokee,2863
27939,Grandy,Currituck,2862
27883,Stantonsburg,Wilson,2850
27844,Hollister,Halifax,2846
28526,Dover,Craven,2797
28521,Chinquapin,Duplin,2769
27356,Star,Montgomery,2759
28373,Pinebluff,Moore,2749
28088,Landis,Rowan,2746
28454,Maple Hill,Pender,2733
28167,Union Mills,Rutherford,2732
27553,Manson,Vance,2725
27054,Woodleaf,Rowan,2725
27110,Winston Salem,Forsyth,2723
28626,Fleetwood,Ashe,2693
27812,Bethel,Pitt,2686
27890,Weldon,Halifax,2685
28450,Lake Waccamaw,Columbus,2684
28071,Gold Hill,Rowan,2667
27109,Winston Salem,Forsyth,2661
28669,Roaring River,Wilkes,2623
27559,Moncure,Chatham,2622
28515,Bayboro,Pamlico,2606
28480,Wrightsville Beach,New Hanover,2599
28349,Kenansville,Duplin,2598
28357,Lumber Bridge,Robeson,2590
28689,Union Grove,Iredell,2586
28369,Orrum,Robeson,2585
28396,Wagram,Scotland,2583
27806,Aurora,Beaufort,2576
28618,Deep Gap,Watauga,2561
27007,Ararat,Surry,2550
28582,Stella,Carteret,2507
28455,Nakina,Columbus,2500
28571,Oriental,Pamlico,2474
28709,Barnardsville,Buncombe,2470
27970,Roper,Washington,2446
28423,Bolton,Columbus,2421
28125,Mount Ulla,Rowan,2421
28133,Peachland,Anson,2420
28746,Lake Lure,Rutherford,2420
28763,Otto,Macon,2419
27355,Staley,Randolph,2394
28119,Morven,Anson,2391
28665,Purlear,Wilkes,2376
27986,Winton,Hertford,2362
28020,Casar,Cleveland,2354
28698,Zionville,Watauga,2312
28444,Harrells,Sampson,2310
28430,Cerro Gordo,Columbus,2298
28747,Lake Toxaway,Transylvania,2297
28385,Salemburg,Sampson,2277
27888,Walstonburg,Greene,2261
28660,Olin,Iredell,2210
28435,Currie,Pender,2210
27212,Blanch,Caswell,2196
28523,Cove City,Craven,2196
28622,Elk Park,Avery,2189
28347,Hoffman,Richmond,2187
27562,New Hill,Wake,2149
27816,Castalia,Nash,2125
28436,Delco,Columbus,2090
27808,Bath,Beaufort,2066
27950,Knotts Island,Currituck,2048
28395,Wade,Cumberland,2046
27878,Sharpsburg,Nash,2045
27820,Conway,Northampton,2041
28684,Todd,Ashe,2038
27231,Cedar Grove,Orange,2020
27980,Tyner,Chowan,2018
28538,Hookerton,Greene,2008
28743,Hot Springs,Madison,1997
28091,Lilesville,Anson,1975
27865,Pinetown,Beaufort,1963
28393,Turkey,Sampson,1962
28399,White Oak,Bladen,1955
28717,Cashiers,Jackson,1948
27814,Blounts Creek,Beaufort,1947
27507,Bullock,Granville,1930
28617,Crumpler,Ashe,1924
28529,Grantsboro,Pamlico,1920
27935,Eure,Gates,1879
28783,Tuckasegee,Jackson,1858
28685,Traphill,Wilkes,1854
28615,Creston,Ashe,1811
27897,Woodland,Northampton,1810
27824,Engelhard,Hyde,1797
27929,Currituck,Currituck,1787
28449,Kure Beach,New Hanover,1778
27343,Semora,Person,1772
27046,Sandy Ridge,Stokes,1771
28573,Pollocksville,Jones,1770
27315,Providence,Caswell,1763
28447,Ivanhoe,Sampson,1734
27981,Wanchese,Dare,1732
27208,Bennett,Chatham,1721
27928,Creswell,Washington,1717
27869,Rich Square,Northampton,1705
27818,Como,Hertford,1699
28637,Hildebran,Burke,1692
27926,Corapeake,Gates,1692
28693,Warrensville,Ashe,1690
27551,Macon,Warren,1684
27252,Goldston,Chatham,1669
27860,Pantego,Beaufort,1663
28438,Evergreen,Columbus,1651
27305,Milton,Caswell,1624
27291,Leasburg,Caswell,1616
28421,Atkinson,Pender,1610
28679,Sugar Grove,Watauga,1609
27849,Lewiston Woodville,Bertie,1608
28619,Drexel,Burke,1593
28392,Tar Heel,Bladen,1559
28623,Ennice,Alleghany,1540
27920,Buxton,Dare,1527
28072,Granite Quarry,Rowan,1527
28510,Arapahoe,Pamlico,1508
28624,Ferguson,Wilkes,1499
28606,Boomer,Wilkes,1497
28682,Terrell,Catawba,1474
27979,Sunbury,Gates,1473
28343,Gibson,Scotland,1457
27842,Henrico,Northampton,1446
27047,Siloam,Surry,1439
27829,Fountain,Pitt,1436
28442,Hallsboro,Columbus,1432
28902,Brasstown,Clay,1419
28363,Marston,Richmond,1415
27508,Bunn,Franklin,1413
28432,Clarendon,Columbus,1407
27242,Eagle Springs,Moore,1366
27974,Shiloh,Camden,1351
27016,Danbury,Stokes,1339
27884,Stokes,Pitt,1332
28766,Penrose,Transylvania,1331
28531,Harkers Island,Carteret,1260
27947,Jarvisburg,Currituck,1259
27938,Gatesville,Gates,1233
28683,Thurmond,Wilkes,1232
27876,Seaboard,Northampton,1218
27973,Shawboro,Currituck,1205
28009,Badin,Stanly,1183
27709,Durham,Durham,1152
28772,Rosman,Transylvania,1149
28644,Laurel Springs,Ashe,1147
27957,Merry Hill,Bertie,1143
28611,Collettsville,Caldwell,1131
28006,Alexis,Gaston,1116
27022,Lawsonville,Stokes,1103
27843,Hobgood,Halifax,1053
28439,Fair Bluff,Columbus,1038
27857,Oak City,Martin,1037
27919,Belvidere,Perquimans,1035
27946,Hobbsville,Gates,1022
28627,Glade Valley,Alleghany,1020
28556,Merritt,Pamlico,1013
28909,Warne,Clay,993
28101,Mc Adenville,Gaston,970
27885,Swanquarter,Hyde,963
27866,Pleasant Hill,Northampton,961
27314,Prospect Hill,Caswell,956
27936,Frisco,Dare,953
28434,Council,Bladen,948
27927,Corolla,Currituck,947
27014,Cooleemee,Davie,942
27826,Fairfield,Hyde,924
28774,Sapphire,Transylvania,924
28448,Kelly,Bladen,902
28452,Longwood,Brunswick,899
27953,Manns Harbor,Dare,888
28649,Mc Grady,Wilkes,868
27916,Aydlett,Currituck,860
28740,Green Mountain,Yancey,849
27923,Coinjock,Currituck,827
27966,Powells Point,Currituck,818
27813,Black Creek,Wilson,792
28527,Ernul,Craven,788
28736,Glenville,Jackson,782
28781,Topton,Cherokee,781
27531,Goldsboro,Wayne,778
28631,Grassy Creek,Ashe,758
28017,Boiling Springs,Cleveland,730
27862,Pendleton,Northampton,727
28007,Ansonville,Anson,720
27960,Ocracoke,Hyde,706
27922,Cofield,Hertford,687
27555,Micro,Johnston,672
27964,Point Harbor,Currituck,661
27942,Harrellsville,Hertford,658
27847,Kelford,Bertie,649
27917,Barco,Currituck,647
28579,Smyrna,Carteret,639
28511,Atlantic,Carteret,626
28528,Gloucester,Carteret,619
28663,Piney Creek,Alleghany,616
27568,Pine Level,Johnston,607
27042,Pine Hall,Stokes,606
28325,Calypso,Duplin,605
27853,Margarettsville,Northampton,591
28308,Pope A F B,Cumberland,588
27956,Maple,Currituck,549
28671,Rutherford College,Burke,545
27872,Roxobel,Bertie,535
28076,Henrietta,Rutherford,521
28575,Salter Path,Carteret,481
28668,Roaring Gap,Alleghany,481
27875,Scranton,Hyde,477
28628,Glen Alpine,Burke,476
28077,High Shoals,Gaston,467
27943,Hatteras,Dare,460
28702,Almond,Swain,456
28332,Dublin,Bladen,442
27941,Harbinger,Currituck,424
27915,Avon,Dare,421
28745,Lake Junaluska,Haywood,417
27873,Saratoga,Wilson,413
27582,Stovall,Granville,409
28553,Marshallberg,Carteret,402
27965,Poplar Branch,Currituck,399
27985,Winfall,Perquimans,390
28718,Cedar Mountain,Transylvania,379
28581,Stacy,Carteret,361
28667,Rhodhiss,Caldwell,360
28519,Bridgeton,Craven,341
28109,Misenheimer,Stanly,334
28577,Sealevel,Carteret,333
27840,Hamilton,Martin,328
28708,Balsam Grove,Transylvania,318
27879,Simpson,Pitt,316
28583,Stonewall,Pamlico,313
28646,Linville,Avery,310
28775,Scaly Mountain,Macon,304
28735,Gerton,Henderson,303
28330,Cordova,Richmond,293
28524,Davis,Carteret,285
28587,Vandemere,Pamlico,263
27819,Conetoe,Edgecombe,249
28520,Cedar Island,Carteret,243
27556,Middleburg,Vance,238
28089,Lattimore,Cleveland,227
27821,Edward,Beaufort,225
28342,Falcon,Cumberland,216
28554,Maury,Greene,205
28169,Waco,Cleveland,202
28707,Balsam,Jackson,201
28662,Pineola,Avery,193
27978,Stumpy Point,Dare,184
28720,Chimney Rock,Rutherford,177
27967,Powellsville,Bertie,174
28552,Lowland,Pamlico,169
28616,Crossnore,Avery,166
28375,Proctorville,Robeson,164
28108,Mineral Springs,Union,160
27881,Speed,Edgecombe,146
28350,Lakeview,Moore,144
27968,Rodanthe,Dare,141
28666,Icard,Burke,138
28749,Little Switzerland,Mcdowell,138
28589,Williston,Carteret,131
28367,Norman,Richmond,126
28757,Montreat,Buncombe,100
28102,Mc Farlan,Anson,95
27972,Salvo,Dare,91
28537,Hobucken,Pamlico,90
28039,East Spencer,Rowan,82
27201,Alamance,Alamance,66
27827,Falkland,Pitt,59
27982,Waves,Dare,56
28424,Brunswick,Columbus,48
27825,Everetts,Martin,46
27861,Parmele,Martin,44
27340,Saxapahaw,Alamance,43
28733,Fontana Dam,Graham,27
28725,Dillsboro,Jackson,26
28647,Linville Falls,Burke,16
27841,Hassell,Martin,16
28672,Scottville,Ashe,15
28652,Minneapolis,Avery,0
28629,Glendale Springs,Ashe,0
28019,Caroleen,Rutherford,0
28282,Charlotte,Mecklenburg,0
28280,Charlotte,Mecklenburg,0
28244,Charlotte,Mecklenburg,0
